Make,Model,MPG-H,MPG-C
Toyota,Prius c,46.0,53.0
Toyota,Prius v,39.67,43.67
Toyota,RAV4,29.5,22.79
Toyota,RAV4 EV,74.0,78.0
Toyota,RAV4 Hybrid,30.4,34.0
Toyota,Sequoia,17.0,13.0
Toyota,Sienna,24.98,17.84
Toyota,Supra,22.0,15.83
Toyota,T100,19.2,15.47
Toyota,Tacoma,22.44,18.07
Toyota,Tercel,35.14,27.71
Toyota,Tundra,17.69,13.35
Toyota,Venza,25.7,19.15
Toyota,Yaris,35.95,30.0
Toyota,Yaris iA,39.5,31.0
Volkswagen,Beetle,33.61,25.26
Volkswagen,Beetle Convertible,33.23,24.79
Volkswagen,CC,30.47,21.07
Volkswagen,Cabrio,27.36,20.57
Volkswagen,Cabriolet,28.33,21.67
Volkswagen,Corrado,23.5,16.5
Volkswagen,Eos,30.0,22.0
Volkswagen,EuroVan,18.0,15.0
Volkswagen,Fox,29.67,22.0
Volkswagen,GLI,31.3,22.3
Volkswagen,GTI,32.0,22.5
Volkswagen,Golf,37.93,26.22
Volkswagen,Golf Alltrack,30.0,22.0
Volkswagen,Golf GTI,33.4,24.8
Volkswagen,Golf R,30.4,22.6
Volkswagen,Golf SportWagen,37.37,26.89
Volkswagen,Jetta,37.72,26.83
Volkswagen,Jetta GLI,32.5,23.23
Volkswagen,Jetta Hybrid,48.0,42.0
Volkswagen,Jetta SportWagen,36.8,27.1
Volkswagen,New Beetle,28.38,20.0
Volkswagen,Passat,35.86,24.34
Volkswagen,Phaeton,18.82,12.36
Volkswagen,R32,23.5,17.5
Volkswagen,Rabbit,28.73,20.27
Volkswagen,Routan,24.62,16.81
Volkswagen,Tiguan,25.38,20.35
Volkswagen,Touareg,25.06,18.33
Volkswagen,Touareg 2,20.0,14.17
Volkswagen,Vanagon,16.75,15.25
Volvo,240,25.43,18.71
Volvo,740,23.77,18.0
Volvo,760,19.67,15.67
Volvo,780,19.5,15.5
Volvo,850,24.6,17.4
Volvo,940,23.17,17.0
Volvo,960,23.67,15.67
Volvo,C30,29.0,21.0
Volvo,C70,28.0,18.67
Volvo,Coupe,20.0,17.0
Volvo,S40,28.88,20.12
Volvo,S60,32.14,22.14
Volvo,S60 Cross Country,30.0,22.0
Volvo,S70,24.69,17.54
Volvo,S80,32.5,22.25
Volvo,S90,30.6,21.2
Volvo,V40,27.0,19.0
Volvo,V50,28.83,20.17
Volvo,V60,30.67,21.86
Volvo,V60 Cross Country,28.67,20.67
Volvo,V70,25.75,17.0
Volvo,V90,23.0,16.0
Volvo,XC,23.0,17.0
Volvo,XC60,27.13,19.87
Volvo,XC70,27.5,20.17
Volvo,XC90,25.29,20.47
